customer_id,region,tenure_months,contract_type,internet_type,payment_method,monthly_charges,total_charges,churn
CUST00001,North,3,One year,DSL,Mailed check,93.12,279.78,No
CUST00002,North,54,Month-to-month,DSL,Mailed check,69.55,3395.08,Yes
CUST00003,West,28,Month-to-month,DSL,Electronic check,95.4,2468.05,Yes
CUST00004,East,19,Month-to-month,Fiber optic,Electronic check,27.46,477.14,No
CUST00005,East,5,One year,Fiber optic,Credit card,26.04,122.91,No
CUST00006,East,24,One year,DSL,Mailed check,96.85,2435.47,No
CUST00007,North,48,Month-to-month,Fiber optic,Bank transfer,34.59,1582.77,No
CUST00008,North,21,Month-to-month,DSL,Credit card,56.7,1248.36,No
CUST00009,South,41,Two year,Fiber optic,Mailed check,101.82,4261.27,No
CUST00010,North,27,Two year,Fiber optic,Bank transfer,39.69,1044.72,No
CUST00011,West,18,Month-to-month,DSL,Bank transfer,94.2,1635.01,No
CUST00012,East,28,Two year,DSL,Credit card,27.27,692.6,No
CUST00013,South,54,One year,Fiber optic,Credit card,71.97,4063.84,No
CUST00014,North,14,One year,Fiber optic,Bank transfer,96.4,1283.51,No
CUST00015,South,58,Month-to-month,Fiber optic,Bank transfer,117.13,6890.65,Yes
CUST00016,North,38,Two year,Fiber optic,Mailed check,33.59,1294.77,No
CUST00017,North,41,Month-to-month,DSL,Bank transfer,107.63,4522.05,Yes
CUST00018,North,30,Two year,No,Electronic check,92.65,2841.77,No
CUST00019,South,16,One year,No,Mailed check,45.04,742.88,No
CUST00020,South,69,One year,Fiber optic,Bank transfer,58.7,4053.35,No
CUST00021,West,15,Month-to-month,DSL,Electronic check,78.01,1093.53,Yes
CUST00022,North,7,Month-to-month,No,Bank transfer,25.23,165.25,No
CUST00023,South,69,Month-to-month,No,Credit card,42.79,2866.73,No
CUST00024,North,12,One year,Fiber optic,Credit card,65.64,795.05,No
CUST00025,North,7,Month-to-month,DSL,Electronic check,43.36,281.83,Yes
CUST00026,West,23,Month-to-month,DSL,Electronic check,63.2,1496.05,No
CUST00027,North,69,Two year,No,Mailed check,34.96,2346.74,No
CUST00028,West,7,Month-to-month,DSL,Credit card,45.05,320.9,Yes
CUST00029,West,71,One year,Fiber optic,Mailed check,48.26,3581.7,No
CUST00030,North,40,Month-to-month,Fiber optic,Mailed check,23.8,929.32,No
CUST00031,North,8,One year,DSL,Electronic check,114.04,899.05,No
CUST00032,North,10,Month-to-month,Fiber optic,Bank transfer,113.34,1054.79,Yes
CUST00033,South,33,Month-to-month,Fiber optic,Bank transfer,64.64,2217.06,No
CUST00034,North,58,One year,Fiber optic,Electronic check,25.47,1376.77,No
CUST00035,East,8,Two year,Fiber optic,Mailed check,62.69,492.23,Yes
CUST00036,North,70,Month-to-month,Fiber optic,Mailed check,44.98,3253.94,No
CUST00037,South,34,Month-to-month,DSL,Bank transfer,38.77,1311.77,Yes
CUST00038,West,32,Two year,No,Electronic check,82.7,2710.98,Yes
